iter	Passed	Remaining
0	142	142135
1	143	71784
2	145	48362
3	147	36640
4	148	29564
5	150	24872
6	151	21498
7	153	19012
8	154	17040
9	156	15470
10	158	14207
11	159	13165
12	161	12244
13	162	11444
14	163	10751
15	165	10178
16	166	9654
17	168	9189
18	170	8802
19	172	8437
20	174	8113
21	175	7804
22	177	7533
23	178	7269
24	180	7027
25	182	6831
26	184	6640
27	186	6458
28	187	6274
29	188	6104
30	190	5943
31	191	5796
32	193	5657
33	194	5527
34	196	5412
35	197	5297
36	199	5187
37	200	5085
38	202	4994
39	204	4899
40	205	4807
41	207	4724
42	208	4651
43	210	4576
44	212	4501
45	213	4429
46	215	4363
47	216	4296
48	218	4235
49	221	4211
50	223	4159
51	225	4108
52	226	4054
53	228	4000
54	229	3947
55	231	3897
56	232	3846
57	234	3804
58	235	3762
59	237	3721
60	238	3676
61	240	3638
62	242	3599
63	243	3558
64	244	3516
65	245	3480
66	247	3448
67	248	3409
68	250	3377
69	251	3345
70	253	3313
71	254	3281
72	255	3248
73	256	3215
74	258	3190
75	260	3169
76	262	3142
77	263	3116
78	265	3091
79	266	3067
80	268	3043
81	269	3020
82	271	2996
83	273	2986
84	274	2959
85	276	2937
86	277	2911
87	278	2890
88	280	2871
89	282	2851
90	283	2831
91	284	2811
92	286	2795
93	289	2786
94	290	2771
95	292	2753
96	293	2735
97	295	2718
98	296	2701
99	298	2686
100	300	2678
101	301	2656
102	303	2639
103	304	2623
104	305	2608
105	307	2596
106	309	2582
107	310	2567
108	312	2556
109	314	2543
110	315	2528
111	317	2515
112	318	2501
113	319	2486
114	321	2470
115	322	2456
116	323	2443
117	325	2430
118	326	2417
119	327	2405
120	329	2392
121	330	2380
122	331	2363
123	332	2350
124	333	2337
125	335	2324
126	336	2312
127	337	2298
128	338	2286
129	340	2278
130	341	2268
131	343	2258
132	344	2246
133	345	2234
134	346	2222
135	348	2214
136	350	2208
137	351	2198
138	353	2191
139	355	2185
140	357	2178
141	358	2168
142	360	2160
143	361	2150
144	363	2143
145	365	2135
146	367	2130
147	369	2126
148	371	2119
149	372	2113
150	374	2106
151	376	2100
152	378	2094
153	380	2090
154	382	2085
155	383	2076
156	385	2068
157	386	2060
158	387	2051
159	389	2042
160	390	2034
161	391	2024
162	392	2017
163	394	2013
164	396	2008
165	398	1999
166	399	1991
167	400	1982
168	401	1974
169	402	1965
170	403	1957
171	404	1949
172	406	1943
173	408	1937
174	409	1930
175	410	1923
176	412	1916
177	413	1908
178	414	1900
179	415	1893
180	416	1883
181	417	1875
182	418	1868
183	419	1862
184	421	1857
185	423	1851
186	424	1845
187	425	1838
188	426	1830
189	427	1823
190	428	1816
191	430	1809
192	431	1803
193	432	1796
194	434	1793
195	436	1791
196	437	1784
197	439	1780
198	441	1775
199	442	1770
200	443	1764
201	445	1758
202	446	1753
203	448	1749
204	449	1744
205	451	1738
206	452	1732
207	453	1726
208	454	1721
209	456	1716
210	457	1711
211	459	1706
212	461	1703
213	462	1698
214	463	1693
215	465	1689
216	466	1684
217	468	1679
218	469	1674
219	470	1669
220	472	1665
221	474	1661
222	475	1657
223	477	1653
224	478	1648
225	480	1644
226	481	1639
227	482	1634
228	484	1629
229	486	1627
230	487	1624
231	489	1620
232	491	1616
233	492	1612
234	493	1607
235	494	1602
236	496	1597
237	497	1593
238	499	1589
239	500	1584
240	501	1580
241	503	1577
242	505	1573
243	506	1568
244	507	1564
245	509	1561
246	510	1556
247	511	1551
248	512	1547
249	514	1543
250	516	1539
251	517	1535
252	518	1532
253	520	1528
254	522	1525
255	523	1521
256	524	1516
257	525	1512
258	526	1507
259	529	1506
260	530	1502
261	531	1498
262	533	1494
263	534	1489
264	535	1485
265	536	1480
266	537	1476
267	538	1471
268	540	1467
269	541	1463
270	543	1461
271	544	1457
272	546	1454
273	547	1450
274	548	1446
275	549	1441
276	550	1437
277	551	1433
278	553	1429
279	554	1425
280	556	1423
281	557	1419
282	559	1416
283	560	1412
284	561	1408
285	562	1404
286	563	1400
287	565	1397
288	566	1393
289	567	1389
290	568	1386
291	570	1383
292	571	1379
293	573	1376
294	574	1372
295	575	1369
296	576	1365
297	577	1361
298	579	1357
299	580	1353
300	581	1350
301	583	1347
302	584	1344
303	586	1341
304	587	1338
305	588	1335
306	590	1331
307	591	1328
308	592	1325
309	594	1322
310	596	1320
311	597	1317
312	599	1315
313	600	1311
314	601	1308
315	602	1304
316	604	1301
317	605	1297
318	606	1294
319	607	1291
320	609	1288
321	610	1286
322	612	1283
323	613	1279
324	614	1276
325	615	1273
326	616	1269
327	617	1266
328	619	1262
329	620	1259
330	621	1255
331	622	1252
332	624	1250
333	625	1247
334	626	1243
335	627	1240
336	629	1237
337	630	1234
338	631	1231
339	632	1227
340	633	1224
341	634	1221
342	636	1218
343	637	1216
344	639	1213
345	640	1210
346	641	1207
347	643	1204
348	644	1201
349	645	1198
350	646	1196
351	648	1193
352	649	1190
353	650	1187
354	652	1184
355	653	1182
356	655	1181
357	657	1179
358	658	1176
359	660	1174
360	662	1172
361	664	1171
362	666	1169
363	667	1166
364	669	1164
365	670	1161
366	671	1159
367	673	1156
368	674	1153
369	676	1151
370	677	1148
371	679	1146
372	680	1143
373	681	1141
374	683	1139
375	684	1136
376	686	1134
377	687	1131
378	689	1129
379	690	1127
380	692	1125
381	694	1123
382	695	1120
383	697	1118
384	699	1117
385	700	1114
386	702	1112
387	704	1110
388	705	1108
389	707	1106
390	708	1103
391	710	1101
392	711	1099
393	713	1097
394	714	1095
395	716	1092
396	718	1091
397	720	1089
398	721	1086
399	723	1084
400	724	1082
401	726	1080
402	727	1078
403	729	1076
404	731	1074
405	732	1072
406	734	1070
407	736	1067
408	737	1065
409	739	1063
410	740	1061
411	742	1059
412	743	1057
413	745	1055
414	746	1052
415	748	1050
416	749	1047
417	750	1045
418	752	1043
419	753	1040
420	754	1038
421	756	1035
422	757	1033
423	759	1031
424	760	1028
425	761	1026
426	763	1023
427	764	1021
428	765	1019
429	767	1016
430	768	1014
431	769	1012
432	771	1010
433	772	1007
434	774	1005
435	775	1003
436	777	1001
437	778	998
438	779	996
439	781	994
440	782	992
441	784	990
442	786	988
443	787	986
444	788	983
445	790	981
446	791	979
447	792	976
448	794	974
449	795	972
450	797	970
451	798	968
452	799	965
453	801	963
454	802	961
455	804	959
456	805	957
457	807	955
458	808	952
459	809	950
460	811	948
461	812	946
462	814	944
463	815	942
464	816	939
465	818	937
466	819	935
467	821	933
468	822	931
469	824	929
470	826	927
471	827	925
472	828	923
473	830	921
474	831	919
475	833	917
476	834	915
477	835	912
478	837	910
479	838	908
480	840	906
481	841	904
482	842	901
483	843	899
484	844	896
485	845	894
486	846	892
487	848	889
488	849	887
489	850	885
490	852	883
491	854	881
492	855	879
493	856	877
494	858	875
495	859	873
496	861	871
497	862	869
498	863	867
499	865	865
500	866	863
501	868	861
502	869	859
503	871	857
504	872	855
505	873	852
506	874	850
507	875	847
508	876	845
509	878	843
510	879	841
511	880	839
512	882	837
513	883	835
514	884	833
515	885	830
516	886	828
517	888	826
518	889	824
519	890	821
520	891	819
521	893	817
522	894	815
523	895	813
524	897	811
525	898	809
526	899	807
527	901	805
528	902	803
529	903	801
530	905	799
531	906	797
532	908	795
533	909	793
534	910	791
535	911	789
536	912	787
537	914	784
538	915	782
539	916	780
540	917	778
541	919	776
542	920	774
543	922	772
544	923	770
545	924	768
546	926	766
547	927	765
548	929	763
549	930	761
550	932	759
551	933	757
552	935	756
553	936	754
554	938	752
555	939	750
556	941	748
557	942	746
558	943	744
559	945	743
560	947	741
561	948	739
562	950	737
563	951	735
564	953	733
565	954	731
566	955	730
567	957	728
568	959	726
569	960	724
570	962	723
571	964	721
572	965	719
573	966	717
574	968	715
575	970	714
576	972	712
577	974	711
578	975	709
579	977	707
580	978	705
581	979	703
582	981	701
583	982	699
584	983	697
585	985	696
586	987	694
587	988	692
588	990	690
589	991	688
590	992	686
591	993	684
592	995	682
593	996	680
594	997	678
595	998	677
596	1000	675
597	1001	673
598	1002	671
599	1004	669
600	1005	667
601	1007	665
602	1008	664
603	1010	662
604	1012	661
605	1013	659
606	1015	657
607	1016	655
608	1017	653
609	1019	651
610	1020	649
611	1021	647
612	1022	645
613	1023	643
614	1025	641
615	1026	639
616	1028	638
617	1029	636
618	1030	634
619	1032	632
620	1033	630
621	1034	628
622	1036	627
623	1037	625
624	1039	623
625	1041	622
626	1042	620
627	1043	618
628	1045	616
629	1046	614
630	1048	612
631	1049	610
632	1050	608
633	1051	606
634	1053	605
635	1054	603
636	1056	601
637	1057	600
638	1059	598
639	1060	596
640	1061	594
641	1062	592
642	1064	590
643	1065	588
644	1067	587
645	1068	585
646	1070	583
647	1071	582
648	1072	580
649	1074	578
650	1075	576
651	1076	574
652	1077	572
653	1079	571
654	1081	569
655	1082	567
656	1084	566
657	1085	564
658	1086	562
659	1088	560
660	1089	558
661	1091	557
662	1092	555
663	1094	553
664	1096	552
665	1097	550
666	1098	548
667	1099	546
668	1101	544
669	1102	543
670	1103	541
671	1104	539
672	1106	537
673	1107	535
674	1108	533
675	1110	532
676	1111	530
677	1112	528
678	1113	526
679	1114	524
680	1116	522
681	1117	521
682	1118	519
683	1120	517
684	1121	515
685	1122	513
686	1123	512
687	1125	510
688	1126	508
689	1127	506
690	1128	504
691	1130	502
692	1131	501
693	1133	499
694	1135	498
695	1136	496
696	1138	494
697	1139	492
698	1140	491
699	1141	489
700	1143	487
701	1144	486
702	1146	484
703	1147	482
704	1149	480
705	1150	478
706	1151	477
707	1152	475
708	1153	473
709	1154	471
710	1155	469
711	1156	467
712	1158	466
713	1159	464
714	1160	462
715	1162	460
716	1163	459
717	1164	457
718	1165	455
719	1166	453
720	1167	451
721	1169	450
722	1170	448
723	1171	446
724	1173	444
725	1174	443
726	1175	441
727	1177	439
728	1178	437
729	1179	436
730	1180	434
731	1181	432
732	1182	430
733	1183	428
